"fish_level","direction","mean_total","conv_type","conv_years","theta","interaction_resource","knife_edge_size","fraction_of_unfished"
100,"down",0.50756053982786,"steady",0.2,0.3,5,15,1.07933770369288
50,"down",0.51687474782228,"steady",0.6,0.3,5,15,1.09914455446151
30,"down",0.527602908525091,"steady",0.8,0.3,5,15,1.12195820412337
20,"down",0.535148093148482,"steady",0.8,0.3,5,15,1.1380031910881
10,"down",0.539869525750916,"steady",1,0.3,5,15,1.14804341254618
10,"up",0.501659953204349,"cycle",20.4,0.7,1,5,0.959489658525048
20,"up",0.320233643694874,"cycle",10.2,0.7,1,5,0.612488334925681
30,"up",0.0745600743390336,"cycle",6.2,0.7,1,5,0.1426058026163
50,"up",0.0241608157716913,"steady",12.8,0.7,1,5,0.0462106905811227
100,"up",NA,"extinction",9.4,0.7,1,5,NA
100,"down",NA,"extinction",10.8,0.7,1,5,NA
50,"down",0.0226472509254038,"steady",30.4,0.7,1,5,0.0433158017062112
30,"down",0.163510464677549,"cycle",8.8,0.7,1,5,0.312734949075805
20,"down",0.27442037843857,"cycle",8.4,0.7,1,5,0.524864529286201
10,"down",0.258514484829398,"cycle",20.4,0.7,1,5,0.49444244689729
10,"up",0.525680726962471,"cycle",26,0.7,1,10,1.00543250061055
20,"up",0.510018670040057,"cycle",22.8,0.7,1,10,0.975476787477982
30,"up",0.497889525793669,"cycle",20.4,0.7,1,10,0.952278227583315
50,"up",0.48231822184934,"cycle",17.8,0.7,1,10,0.922496091279824
100,"up",0.462035901153166,"cycle",15.4,0.7,1,10,0.883703525051322
100,"down",0.46137723787871,"cycle",15.4,0.7,1,10,0.882443746198626
50,"down",0.491980696352457,"cycle",17.8,0.7,1,10,0.94097682569421
30,"down",0.501537070852053,"cycle",20.4,0.7,1,10,0.959254630104919
20,"down",0.500252665738813,"cycle",22.8,0.7,1,10,0.956798038910747
10,"down",0.4967119574729,"cycle",26,0.7,1,10,0.950025975597149
10,"up",0.530265923104527,"cycle",24,0.7,1,15,1.01420228231728
20,"up",0.527504914049675,"cycle",24.6,0.7,1,15,1.00892149476726
30,"up",0.524470549741733,"cycle",24.8,0.7,1,15,1.00311787987819
50,"up",0.519613036968843,"cycle",25,0.7,1,15,0.993827257332042
100,"up",0.509938297106675,"cycle",25.2,0.7,1,15,0.975323063829298
100,"down",0.528008094272366,"cycle",25.2,0.7,1,15,1.00988389213816
50,"down",0.522712667966364,"cycle",25,0.7,1,15,0.999755703221269
30,"down",0.518833331126248,"cycle",24.8,0.7,1,15,0.992335968884793
20,"down",0.514069478959862,"cycle",24.6,0.7,1,15,0.983224484383801
10,"down",0.510528129821999,"cycle",24,0.7,1,15,0.97645119531956
10,"up",0.30268858077921,"cycle",22,0.7,2,5,1.0374770783702
20,"up",0.281607009222102,"cycle",16.8,0.7,2,5,0.965219158331665
30,"up",0.256698278560145,"cycle",9.2,0.7,2,5,0.879843499142438
50,"up",0.138859851352514,"cycle",12,0.7,2,5,0.475947630773724
100,"up",0.0299860315005658,"steady",3,0.7,2,5,0.102778308560693
100,"down",0.0299677996708332,"steady",0.2,0.7,2,5,0.102715818243431
50,"down",0.0673382719783351,"cycle",8.8,0.7,2,5,0.230804589637097
30,"down",0.195610885383605,"cycle",10.6,0.7,2,5,0.670464043746738
20,"down",0.325714713633137,"cycle",16.8,0.7,2,5,1.11640005913795
10,"down",0.342919383978927,"cycle",22.4,0.7,2,5,1.17536974698915
10,"up",0.232867026553709,"steady",9.2,0.7,2,10,0.798160940646528
20,"up",0.2125402402984,"steady",9.2,0.7,2,10,0.728490077072737
30,"up",0.210285460738341,"steady",4,0.7,2,10,0.720761730980801
50,"up",0.203659909130231,"steady",12.6,0.7,2,10,0.698052390881885
100,"up",0.197942899023261,"steady",29.2,0.7,2,10,0.678457112700186
100,"down",0.198091081088272,"steady",2.8,0.7,2,10,0.678965012586858
50,"down",0.199635110667426,"steady",3.8,0.7,2,10,0.684257235017495
30,"down",0.205708363196964,"steady",6.8,0.7,2,10,0.705073548187715
20,"down",0.217418838300791,"steady",5.4,0.7,2,10,0.745211664616718
10,"down",0.226931757753931,"steady",4.6,0.7,2,10,0.777817572165685
10,"up",0.286364668911179,"steady",1.4,0.7,2,15,0.981526225025087
20,"up",0.282647126855776,"steady",1.2,0.7,2,15,0.968784202645421
30,"up",0.281078294933886,"steady",0.8,0.7,2,15,0.963406969204415
50,"up",0.280617143434793,"steady",0.6,0.7,2,15,0.961826354208192
100,"up",0.280481947088847,"steady",0.6,0.7,2,15,0.961362963387048
100,"down",0.279052537494904,"steady",0.2,0.7,2,15,0.956463605487584
50,"down",0.27899392581039,"steady",0.6,0.7,2,15,0.956262711621515
30,"down",0.280448638812061,"steady",0.8,0.7,2,15,0.961248797951416
20,"down",0.28253932244642,"steady",1,0.7,2,15,0.968414698769964
10,"down",0.284715530035026,"steady",1.2,0.7,2,15,0.975873736323155
10,"up",0.177008001607613,"steady",20.4,0.7,3,5,0.356136132449699
20,"up",0.049034582077542,"cycle",20.2,0.7,3,5,0.0986564802651952
30,"up",0.19219974891027,"cycle",15.4,0.7,3,5,0.386701587572541
50,"up",0.0110931684272111,"cycle",9.2,0.7,3,5,0.0223192062754193
100,"up",0.0133075308728417,"cycle",17.4,0.7,3,5,0.0267744538917214
100,"down",0.0541004731972211,"cycle",3.2,0.7,3,5,0.108848939670353
50,"down",0.183611690306253,"cycle",7.6,0.7,3,5,0.369422606121374
30,"down",0.210482188188975,"cycle",15.4,0.7,3,5,0.423485445688163
20,"down",0.211975468189191,"cycle",19.8,0.7,3,5,0.426489891583894
10,"down",0.176696309913342,"steady",14.8,0.7,3,5,0.355509015745898
10,"up",0.343830477600356,"steady",8.4,0.7,3,10,0.69177921562195
20,"up",0.283705025811008,"steady",5,0.7,3,10,0.570808154045215
30,"up",0.259257643660827,"steady",3.6,0.7,3,10,0.521620569029789
50,"up",0.237141638886126,"steady",3.4,0.7,3,10,0.477123663047195
100,"up",0.22134010682664,"steady",3,0.7,3,10,0.44533133465901
100,"down",0.225711681293136,"steady",0.2,0.7,3,10,0.454126844517739
50,"down",0.240455788754723,"steady",2.8,0.7,3,10,0.483791658312048
30,"down",0.26203636691139,"steady",3.2,0.7,3,10,0.527211297938176
20,"down",0.285791959964581,"steady",3.4,0.7,3,10,0.575007018793592
10,"down",0.344070304794401,"steady",4.4,0.7,3,10,0.692261742561793
10,"up",0.487073975462816,"steady",1.4,0.7,3,15,0.979981923205702
20,"up",0.480808494290084,"steady",1,0.7,3,15,0.967375915496855
30,"up",0.476573614742292,"steady",0.8,0.7,3,15,0.958855432751198
50,"up",0.473343843137445,"steady",0.6,0.7,3,15,0.952357204662074
100,"up",0.469803639757752,"steady",0.6,0.7,3,15,0.9452343947988
100,"down",0.476410526666553,"steady",0.2,0.7,3,15,0.958527303197648
50,"down",0.473411031164214,"steady",0.6,0.7,3,15,0.952492385466237
30,"down",0.471351840835404,"steady",0.8,0.7,3,15,0.948349340671539
20,"down",0.469985261927686,"steady",0.8,0.7,3,15,0.945599814534518
10,"down",0.469834904746953,"steady",1,0.7,3,15,0.945297299256417
10,"up",0.723585716113549,"steady",10,0.7,5,5,0.975045218798804
20,"up",0.148165829776385,"steady",23,0.7,5,5,0.199656213072828
30,"up",0.167758222733509,"cycle",10,0.7,5,5,0.226057327207969
50,"up",0.162355044865421,"cycle",12.6,0.7,5,5,0.218776444474551
100,"up",0.135301452583432,"cycle",7,0.7,5,5,0.182321225392053
100,"down",0.125236506390685,"cycle",7,0.7,5,5,0.168758523083036
50,"down",0.139735505893622,"cycle",12.4,0.7,5,5,0.188296194747752
30,"down",0.129976814545004,"cycle",10.8,0.7,5,5,0.175146176540773
20,"down",0.143472214572455,"steady",7.6,0.7,5,5,0.193331479234723
10,"down",0.553029074696007,"steady",7.6,0.7,5,5,0.745216970333962
10,"up",0.741013460136122,"steady",3.6,0.7,5,10,0.998529428209308
20,"up",0.733442610093473,"steady",7.6,0.7,5,10,0.988327566879074
30,"up",0.652299823717032,"steady",9,0.7,5,10,0.87898615212408
50,"up",0.477655189051479,"steady",10,0.7,5,10,0.643649256677695
100,"up",0.36890561379292,"steady",7.6,0.7,5,10,0.49710718012623
100,"down",0.366223706085895,"steady",0.2,0.7,5,10,0.493493259579208
50,"down",0.38639626789,"steady",2,0.7,5,10,0.520676162032923
30,"down",0.508219397308242,"steady",6.6,0.7,5,10,0.684835096120733
20,"down",0.551770125143122,"steady",2,0.7,5,10,0.743520512381691
10,"down",0.622620738777634,"steady",2.6,0.7,5,10,0.838993032823833
10,"up",0.774302658258969,"steady",2.6,0.7,5,15,1.04338724221048
20,"up",0.780616638159054,"steady",0.8,0.7,5,15,1.05189544763255
30,"up",0.784830546619437,"steady",0.8,0.7,5,15,1.05757376770612
50,"up",0.798110574087859,"steady",2,0.7,5,15,1.07546885186857
100,"up",0.800370339502332,"steady",0.6,0.7,5,15,1.07851392782007
100,"down",0.763202129196598,"steady",0.2,0.7,5,15,1.02842907271187
50,"down",0.76873529840182,"steady",0.6,0.7,5,15,1.03588512119129
30,"down",0.777487235031529,"steady",0.8,0.7,5,15,1.04767851867827
20,"down",0.795843939893244,"steady",1.4,0.7,5,15,1.07241452010799
10,"down",0.808071531521261,"steady",1,0.7,5,15,1.08889142738908
10,"up",0.511005863657448,"cycle",19.6,1,1,5,0.972199095209283
20,"up",0.017086986008791,"cycle",10.4,1,1,5,0.0325083399605294
30,"up",0.144441349298719,"cycle",9.4,1,1,5,0.274802617907251
50,"up",0.0194871615879732,"steady",15.6,1,1,5,0.0370747230343421
100,"up",NA,"extinction",9.2,1,1,5,NA
100,"down",NA,"extinction",10.8,1,1,5,NA
50,"down",0.0180222758592246,"steady",30.4,1,1,5,0.0342877480084957
30,"down",0.00557575881643401,"cycle",7.6,1,1,5,0.0106079950583035
20,"down",0.291305873268127,"cycle",8.8,1,1,5,0.554215375129767
10,"down",0.304424896484244,"cycle",19.6,1,1,5,0.579174584813686
10,"up",0.593407339666883,"cycle",26.4,1,1,10,1.12896958673927
20,"up",0.559981243804098,"cycle",22.6,1,1,10,1.06537575648145
30,"up",0.513000326650897,"cycle",19.8,1,1,10,0.975993601800228
